Source,Target,Weight
Arts & Photography,Biographies & Memoirs,473
Arts & Photography,Business & Investing,276
Arts & Photography,Children's Books,650
Arts & Photography,Comics & Graphic Novels,114
Arts & Photography,Computers & Internet,198
Arts & Photography,"Cooking, Food & Wine",34
Arts & Photography,Engineering,23
Arts & Photography,Entertainment,522
Arts & Photography,Gay & Lesbian,17
Arts & Photography,"Health, Mind & Body",313
Arts & Photography,History,527
Arts & Photography,Home & Garden,1162
Arts & Photography,Horror,2
Arts & Photography,Law,8
Arts & Photography,Literature & Fiction,891
Arts & Photography,Medicine,6
Arts & Photography,Mystery & Thrillers,7
Arts & Photography,Nonfiction,795
Arts & Photography,Outdoors & Nature,66
Arts & Photography,Professional & Technical,543
Arts & Photography,Religion & Spirituality,294
Arts & Photography,Romance,1
Arts & Photography,Science,219
Arts & Photography,Science Fiction & Fantasy,60
Arts & Photography,Sports,54
Arts & Photography,Teens,5
Arts & Photography,Travel,397
Biographies & Memoirs,Arts & Photography,548
Biographies & Memoirs,Business & Investing,392
Biographies & Memoirs,Children's Books,711
Biographies & Memoirs,Comics & Graphic Novels,41
Biographies & Memoirs,Computers & Internet,15
Biographies & Memoirs,"Cooking, Food & Wine",94
Biographies & Memoirs,Engineering,2
Biographies & Memoirs,Entertainment,1102
Biographies & Memoirs,Gay & Lesbian,74
Biographies & Memoirs,"Health, Mind & Body",994
Biographies & Memoirs,History,2558
Biographies & Memoirs,Home & Garden,134
Biographies & Memoirs,Horror,20
Biographies & Memoirs,Law,74
Biographies & Memoirs,Literature & Fiction,3226
Biographies & Memoirs,Medicine,146
Biographies & Memoirs,Mystery & Thrillers,165
Biographies & Memoirs,Nonfiction,2176
Biographies & Memoirs,Outdoors & Nature,84
Biographies & Memoirs,Professional & Technical,105
Biographies & Memoirs,Religion & Spirituality,2066
Biographies & Memoirs,Romance,16
Biographies & Memoirs,Science,430
Biographies & Memoirs,Science Fiction & Fantasy,41
Biographies & Memoirs,Sports,316
Biographies & Memoirs,Teens,45
Biographies & Memoirs,Travel,470
Business & Investing,Arts & Photography,228
Business & Investing,Biographies & Memoirs,284
Business & Investing,Children's Books,73
Business & Investing,Comics & Graphic Novels,4
Business & Investing,Computers & Internet,400
Business & Investing,"Cooking, Food & Wine",114
Business & Investing,Engineering,294
Business & Investing,Entertainment,185
Business & Investing,Gay & Lesbian,6
Business & Investing,"Health, Mind & Body",1813
Business & Investing,History,505
Business & Investing,Home & Garden,275
Business & Investing,Law,339
Business & Investing,Literature & Fiction,170
Business & Investing,Medicine,177
Business & Investing,Mystery & Thrillers,17
Business & Investing,Nonfiction,2611
Business & Investing,Outdoors & Nature,65
Business & Investing,Professional & Technical,253
Business & Investing,Religion & Spirituality,499
Business & Investing,Science,486
Business & Investing,Science Fiction & Fantasy,4
Business & Investing,Sports,116
Business & Investing,Teens,4
Business & Investing,Travel,116
Children's Books,Arts & Photography,543
Children's Books,Biographies & Memoirs,584
Children's Books,Business & Investing,79
Children's Books,Comics & Graphic Novels,291
Children's Books,Computers & Internet,15
Children's Books,"Cooking, Food & Wine",109
Children's Books,Engineering,12
Children's Books,Entertainment,493
Children's Books,Gay & Lesbian,12
Children's Books,"Health, Mind & Body",450
Children's Books,History,347
Children's Books,Home & Garden,564
