Id,modularity_class
827229534,317
804215715,317
156101074X,317
687023955,317
687074231,317
082721619X,317
738700797,424
738700827,424
1567184960,424
1567182836,424
738700525,424
738700940,424
842328327,392
842328130,392
842330313,392
842328610,392
842328572,392
1577943082,330
157794349X,330
892749504,330
1577941829,330
892749563,330
231118597,99
375727191,99
080148605X,99
300089023,136
1590770218,0
871319640,0
1559362022,99
1559360968,99
1559361247,99
1559360828,99
1559361018,99
743214552,99
849311012,460
1580531784,460
1578200326,460
3895780812,104
865778973,104
71343547,104
721662854,104
721681735,104
819444251,104
939165252,433
059500055X,433
674106539,433
1590930509,368
439078172,368
899192254,368
688070450,457
899193498,368
1577683684,368
1893732290,394
1893732398,394
609805797,330
781718791,104
71360387,104
323016774,104
781735114,104
721680178,104
471150274,1
013061081X,1
1852331666,1
70121893,1
895872218,735
1892514656,735
767908090,387
439240751,2
439240727,2
439240719,2
439240700,2
61062499,2
312199406,514
312267568,514
312316089,514
312099436,514
312144075,514
446674346,514
486268780,269
486275507,269
486401588,269
486272737,269
486285537,269
486264661,269
1861007418,3391
1861006098,3391
1861007329,3391
1861007191,3391
1861007868,3391
439420717,1146
439284899,1146
439284880,1146
043924238X,1146
439284864,1146
439188814,1146
687054532,317
687052130,317
687069157,317
764422979,317
687045479,317
687083737,317
875420532,424
156718099X,424
1567180973,424
1578632617,424
689846088,445
068984607X,445
689850271,445
689848218,445
689848226,445
689851634,445
810114275,330
553278339,330
933029012,330
157230376X,330
157224044X,330
829409378,330
415925398,371
333963415,371
069100840X,371
521627249,371
157281196X,424
1572812575,424
1879181940,424
1879181827,424
1879181894,424
375803394,3
037580336X,3
61066249,3
786863919,313
786885270,313
312982178,434
312978340,434
1569472424,434
874850037,735
874850908,735
688100120,735
60958138,735
966187202,735
688162193,735
811726371,540
1403303193,540
962622826,540
1401086276,540
140430407,408
140186867,408
553211439,205
451527569,408
553211587,205
140390308,408
1566913810,688
897323270,688
1566914027,688
881504548,688
762701641,688
037575380X,408
1555530249,408
807009199,408
393956008,408
048628512X,408
042515517X,4
425161021,4
425176312,4
671725319,4
425184250,4
71402306,643
076455364X,643
966889924,643
471394815,643
595169252,643
1858685486,397
201135493,397
970825307,397
151803870,362
156177358,362
811201570,362
015121185X,362
811201511,362
1555919332,182
226820319,182
871205122,182
684836319,182
013093058X,182
684868008,5
031211933X,5
031213570X,5
1574231596,5
590464272,150
590464299,150
590006371,150
059046342X,150
849943221,6
849943205,6
849942993,6
140445684,362
451527100,362
140445757,362
879757051,362
553585975,362
1573921394,362
878301534,515
28643453,515
943955777,515
965442330,515
1579473024,518
1579473350,518
1570662592,518
767905288,40
767908481,40
60514558,40
781433525,392
781438098,392
781438055,392
1885904177,392
891077197,392
1886110867,737
446530603,737
446676780,737
822313189,737
590108859,7
439043638,7
590138596,7
590216872,7
743202554,360
805060839,360
963575309,360
1558508015,360
140272100,486
141001844,486
140244824,486
553487388,8
553487094,8
553487108,8
055348737X,8
804119368,9
449005925,9
804118558,9
804117934,9
804115621,9
345440021,9
810939770,388
942620437,388
316082651,388
931892813,516
039952200X,516
931892333,516
807842109,365
684839296,365
684834960,365
767904028,365
792264746,365
226309045,399
671640992,399
671640984,399
385332998,533
671013882,533
385323905,533
385334184,533
1573228311,719
471394327,667
471332097,667
743205839,667
64470954,736
64471764,736
64471209,736
64470652,736
64408183,736
64406970,736
838514944,104
71354697,104
415276322,397
415107733,397
299183106,10
1581822340,10
1573229326,514
1573227331,514
1573225517,514
1573228583,514
1573226882,514
671562711,682
043921310X,682
618056769,682
446676136,682
1558588035,682
618056777,682
1584230169,197
1873968582,197
954017307,197
1584230045,197
811830241,197
944448143,522
71408819,522
809237873,522
963192302,522
1570715882,522
865532052,522
1588800334,3391
1588800342,3391
789729768,460
471215716,117
1558606556,460
120451433,117
195106261,117
1892041413,33
1892041162,33
679408045,33
743227433,540
440236681,540
786706759,540
786709901,540
440415713,736
440412455,736
440413281,736
440410665,736
375810870,736
1882413024,514
914610007,514
1882413342,514
935626360,514
1882413768,514
446672351,514
374523096,433
195069056,433
60964316,433
60930349,620
081392104X,433
1893441695,557
1893441318,557
1893441377,557
1893441369,557
1893441350,557
683306189,557
769218261,11
089724608X,11
757995284,11
769296521,11
897240308,11
014023778X,514
140271678,514
140280634,514
1560254580,514
793807506,557
793811031,557
553346156,557
962096733,434
971412928,434
971412901,434
312862156,101
312867794,101
380786230,101
446389862,680
761512764,680
738206946,680
865714487,680
609805851,680
811810984,294
811810739,294
811806790,294
811818276,294
811813215,294
811818020,294
872886476,856
872885259,856
830641424,856
872887057,856
006440823X,736
64406326,736
64410323,736
64406962,736
64405176,736
439406420,288
439338689,288
439406412,288
439338670,288
875421210,424
875421318,424
875421180,424
875421229,424
875421261,424
875421849,424
64440451,499
64441466,499
64441431,499
64440737,499
64440028,499
64442705,499
672321971,3391
735619077,3391
764548379,3391
764508687,3391
29148510,336
316330116,336
806132809,336
140048979,336
684813211,336
465007384,336
814766471,473
415068223,473
041514759X,473
694524980,408
1572702567,408
093314993X,682
933149964,682
1843100606,682
1885477368,682
28642406,522
764554689,522
157660019X,643
193168202X,12
1931682046,12
1931682089,12
385504209,200
671027360,200
671027387,200
440136482,200
231113854,294
9654941406,294
691016143,136
140442936,136
62514547,516
1577310640,516
452272424,516
71402497,516
62515896,516
452273838,516
042512911X,488
425101339,488
042518174X,488
425141403,488
425159108,488
425181812,488
195039343,504
679763309,504
068483183X,504
1572305258,504
375701478,504
700609024,182
292777191,182
700611185,182
60974990,182
1893554627,182
375414827,182
395500753,136
345406672,504
345350707,504
807403563,719
1580231659,719
824604229,719
1580230814,719
082760730X,719
805210881,719
312119119,533
067976268X,533
553371835,533
067978120X,533
375705619,533
1876778911,263
187701902X,263
521781906,263
155209507X,263
521007909,263
1578064295,454
571190251,454
1578062977,454
743445643,713
743445600,713
743448383,713
743448405,713
743418522,713
743400518,713
840733208,330
1565076370,330
609807838,330
310492408,330
1585420042,330
802463827,330
879059788,257
1883220890,257
943233623,257
043939886X,1900
1584791292,1900
1584790695,1900
1584790040,1900
1556708963,1900
847823369,1900
198164998,445
801440769,445
801497213,445
306809338,445
671638378,445
253332230,445
131100262,104
781718260,104
1587620685,643
1587622084,643
471126500,643
787952028,643
814406262,643
71580255,540
71579931,540
007137616X,540
939837323,540
70674752,540
964603659,540
130810819,460
201563177,460
020163354X,460
201633469,460
201633922,460
078971826X,460
1558285989,460
078214036X,460
782142265,460
321159985,460
882143786,473
385475292,473
919123236,473
1585442682,473
140433562,317
140447628,317
415224683,317
415132894,317
582404274,317
415143551,3430
312309325,3430
806127945,3430
185367303X,3430
963288539,713
1557984298,713
1560324198,713
738204366,713
874777984,713
446677027,13
446678686,13
446405361,13
195131886,682
521009766,682
387986421,682
521556961,682
521475740,682
1555913466,492
1555912532,492
1555913911,492
1555660770,492
899333397,688
899333389,688
899332846,688
899332889,688
899332552,688
899333303,688
937381608,138
937381683,138
937381691,138
937381284,138
937381624,138
937381594,138
1565794370,737
966476948,737
1560447451,737
516262440,374
516445367,374
516445383,374
516445405,374
051626401X,374
516264672,374
898703484,317
898707323,317
089283756X,317
964261081,317
1551668556,14
1551668807,14
1551668378,14
1551669382,14
262561077,2430
1565847423,2430
262611058,2430
262610469,2430
262523477,2430
791415805,562
520082249,562
892640855,562
804728399,562
691020655,562
674875311,719
046500427X,719
465004318,719
393320774,719
1853434701,15
415115256,15
415165296,15
1571741275,16
446612820,16
088404291X,373
088404288X,373
884042871,373
884042855,373
3895088994,17
760300461,17
760309493,17
1855790394,17
067972186X,24
684826801,24
684826356,24
805210415,24
140188924,24
140188959,24
306808579,18
306807513,18
1560251778,18
761540849,19
761537481,19
1566869803,19
130153621,20
