Id,modularity_class
842328327,82
842328130,82
830818138,82
842330313,82
842328610,82
842328572,82
1577943082,171
157794349X,171
892749504,171
1577941829,171
892749563,171
1577946006,171
231118597,15
B000067D0Y,15
375727191,15
080148605X,15
1560232579,15
300089023,955
1590770218,1364
871319640,1364
399530258,1364
1590770536,1364
158040197X,1364
1569244286,1315
849311012,826
71410546,826
1580531784,826
1578200326,826
B0000A2W55,826
3895780812,866
865778973,866
71343547,866
721662854,866
721681735,866
819444251,866
939165252,838
059500055X,838
B00026L9CU,838
471426121,838
791453200,838
674106539,838
1590930509,22
439078172,22
899192254,22
688070450,22
899193498,22
1577683684,22
1893732290,791
189373238X,791
1893732398,791
609805797,171
781718791,322
71360387,322
323016774,322
781735114,322
721601855,322
721680178,322
471150274,0
471203092,0
013061081X,0
130081779,0
1852331666,0
70121893,0
895872218,941
1892514656,941
399151834,941
767908090,858
439240751,1
439492327,1
439240727,1
439240719,1
439240700,1
61062499,1
618111212,22
395816556,22
395960592,22
061822694X,22
395698235,22
618402373,22
439420717,615
439284899,615
439284880,615
043924238X,615
439284864,615
439188814,615
687054532,82
687052130,82
687069157,82
764422979,82
687045479,82
687083737,82
875420532,981
1567180906,981
875420516,981
156718099X,981
1567180973,981
1578632617,981
157281196X,338
1572812575,338
1879181940,981
1879181827,338
1879181894,338
1401903010,338
375803394,2
037580336X,2
375826416,2
61066249,2
375827544,2
037582409X,2
113300174,3
113308655,3
113308779,3
113308663,3
975568604,3
011330014X,3
312982178,1008
312978340,1008
312330898,1008
312277598,1008
1569473412,1008
1569472424,1008
874850037,941
874850908,941
688100120,941
60958138,941
966187202,941
688162193,941
140430407,35
140186867,35
553211439,35
451527569,347
553211587,35
140390308,204
1566913810,995
897323270,995
1566914027,995
881504548,995
762722460,995
762701641,1753
042515517X,675
425161021,675
425146707,675
425176312,675
671725319,675
425184250,675
1858685486,135
201135493,135
970825307,135
151803870,204
156806541,204
156177358,204
811201570,204
015121185X,204
811201511,204
1555919332,1696
226820319,1696
871205122,1696
684836319,1696
471151610,1696
013093058X,1696
684868008,143
031211933X,143
031213570X,143
1565123727,143
1574231596,143
1566891469,143
590464272,917
059085951X,917
590464299,917
590006371,917
590299352,917
059046342X,917
849943221,1027
849943205,1027
849943213,1027
849942993,1027
553803239,1027
849943590,1027
781433525,171
781438098,171
781438055,171
1885904177,171
891077197,171
802448895,171
1886110867,2517
446530603,2517
1894963261,2517
446676780,2517
1582611300,2517
822313189,2517
140272100,347
140272119,347
141001844,347
670032883,347
670033898,347
140244824,347
553487388,4
553487094,4
553487108,4
055348737X,4
553486802,4
553486799,4
810939770,821
942620437,821
068482986X,821
316082651,821
375422927,821
1581802420,821
931892813,338
039952200X,338
1577330625,338
931892333,338
962636622,338
1401905668,338
807842109,764
684839296,764
684834960,764
767904028,764
792264746,764
811845710,764
226309045,15
671640992,15
671640984,15
471394327,961
471332097,961
1589790189,961
1400040310,961
743205839,961
1852854448,961
64470954,22
64471764,22
64471209,22
64470652,22
64408183,22
64406970,22
838514944,322
71354697,135
71436928,322
71417435,322
71402357,322
415276322,427
415309069,427
