Id,modularity_class
231118597,0
B000067D0Y,0
375727191,0
080148605X,0
1560232579,0
300089023,0
1559362022,1
1559360968,1
1559361247,1
1559360828,1
1559361018,1
743214552,1
810114275,2
553278339,2
933029012,2
157230376X,2
157224044X,2
829409378,2
415925398,2502
804746931,2502
333963415,2502
069100840X,2502
195063953,2502
521627249,2502
590108859,3
439043638,3
590138596,3
590216872,3
439992575,3
043999232X,3
385332998,1189
671013882,1189
385323905,1189
385334184,1189
1400041619,1189
1573228311,1189
1573229326,112
1573227331,112
1573225517,112
1573228583,112
1573226882,112
1573223565,112
006440823X,612
64406326,612
64410323,612
64406962,612
64405176,612
60560150,612
694524980,4
694524190,4
60002719,4
1572703032,4
1572702567,4
1565117700,4
807403563,900
1580231659,900
824604229,900
1580230814,900
082760730X,900
805210881,900
140433562,3540
140447628,3540
019503712X,3540
415224683,3540
415132894,3540
582404274,3540
195131886,243
521009766,243
387986421,243
878932690,243
521556961,243
521475740,243
385333641,5
385324081,5
312265050,5
385334249,5
226751295,5
60528877,5
812991923,2000
812991907,2000
812991915,2000
812966392,2000
812992164,2000
B000060KES,2000
631164014,1242
385720270,1242
674452569,1242
195650387,1242
198281935,1242
198287976,1242
590472674,1487
395776082,1487
590673092,1487
60535431,1487
763617229,1487
618051570,1487
915707322,6
199248915,6
1402014457,6
1891853627,6
1843763885,6
1843768526,6
553579061,7
553291068,7
055329105X,7
553285793,7
553282069,7
553271598,7
553288105,8
553286285,8
553293400,8
553299492,8
553293397,8
553294385,8
140275754,9
801012554,9
62514245,9
684852977,9
61043834,9
471218936,9
1882931602,10
1882931033,10
1882931238,10
1882931297,10
1882931165,10
878162240,10
520072243,2817
20820852,2817
087477859X,2817
096356353X,2817
1583483985,2817
1585421049,2817
299148440,11
192893084,11
155042645,11
096720660X,11
691057249,11
674952901,11
1558703306,361
067188400X,361
880114991,361
736030077,361
679778314,361
880117346,361
899572723,599
899573045,599
899573037,599
915540177,599
899573010,599
899573126,599
323019765,2602
803605935,2602
721682499,2602
71360387,2602
1892418118,2602
1878028286,2602
674292111,5481
684825031,5481
