Id,modularity_class
0231118597,0
B000067D0Y,0
0375727191,0
080148605X,0
1560232579,0
0300089023,0
1559362022,1
1559360968,1
1559361247,1
1559360828,1
1559361018,1
0743214552,1
0810114275,2
0553278339,2
0933029012,2
157230376X,2
157224044X,2
0829409378,2
0415925398,4077
0804746931,4077
0333963415,4077
069100840X,4077
0195063953,4077
0521627249,4077
0590108859,3
0439043638,3
0590138596,3
0590216872,3
0439992575,3
043999232X,3
0385332998,519
0671013882,519
0385323905,519
0385334184,519
1400041619,519
1573228311,519
1573229326,5206
1573227331,5206
1573225517,5206
1573228583,5206
1573226882,5206
1573223565,5206
006440823X,564
0064406326,564
0064410323,564
0064406962,564
0064405176,564
0060560150,564
0694524980,4
0694524190,4
0060002719,4
1572703032,4
1572702567,4
1565117700,4
0807403563,1171
1580231659,1171
0824604229,1171
1580230814,1171
082760730X,1171
0805210881,1171
0140433562,17
0140447628,17
019503712X,17
0415224683,17
0415132894,17
0582404274,17
0195131886,244
0521009766,244
0387986421,244
0878932690,244
0521556961,244
0521475740,244
0385333641,4059
0385324081,4059
0312265050,4059
0385334249,4059
0226751295,4059
0060528877,4059
0812991923,5
0812991907,5
0812991915,5
0812966392,5
0812992164,5
B000060KES,5
0631164014,236
0385720270,236
0674452569,236
0195650387,236
0198281935,236
0198287976,236
0590472674,115
0395776082,115
0590673092,115
0060535431,115
0763617229,115
0618051570,115
0915707322,6
0199248915,6
1402014457,6
1891853627,6
1843763885,6
1843768526,6
0553579061,7
0553291068,7
055329105X,7
0553285793,7
0553282069,7
0553271598,7
0553288105,8
0553286285,8
0553293400,8
0553299492,8
0553293397,8
0553294385,8
0140275754,9
0801012554,9
0062514245,9
0684852977,9
0061043834,9
0471218936,9
1882931602,10
1882931033,10
1882931238,10
1882931297,10
1882931165,10
0878162240,10
0520072243,3412
0020820852,3412
087477859X,3412
096356353X,3412
1583483985,3412
1585421049,3412
0299148440,11
0192893084,11
0155042645,11
096720660X,11
0691057249,11
0674952901,11
1558703306,346
067188400X,346
0880114991,346
0736030077,346
0679778314,346
0880117346,346
0899572723,554
0899573045,554
0899573037,554
0915540177,554
0899573010,554
